"State","Population","Index","Violent","Property","Murder","Rape","Robbery","Assault","Burglary","Larceny","Auto","Inmates","New Index *","Index/ Inmates"
"Alabama","3,742,000","3,938.8","419.1","3,519.7","13.3","25.5","99.1","281.2","1,229.3","1,987.9","302.5","144.2","771.1","5.3"
"Alaska","403,000","6,046.2","441.9","5,604.2","12.9","55.6","91.3","282.1","1,339.2","3,603.5","661.5","121.9","1002.3","8.2"
"Arizona","2,354,000","7,603.8","552.1","7,051.7","9.4","44.2","162.9","335.6","2,082.5","4,504.8","464.4","137.0","1257.3","9.2"
"Arkansas","2,186,000","3,461.7","344.1","3,117.6","9.1","23.1","80.0","231.9","967.1","1,950.9","199.6","115.0","655.9","5.7"
"California","22,294,000","7,116.2","742.9","6,373.3","11.7","50.8","306.1","374.4","2,193.3","3,488.8","691.3","85.6","1380.2","16.1"
"Colorado","2,670,000","6,832.4","498.0","6,334.5","7.3","49.6","159.2","281.9","1,869.6","3,977.0","487.9","89.4","1131.5","12.7"
"Connecticut","3,099,000","4,929.5","315.0","4,614.5","4.2","17.2","154.8","138.8","1,362.0","2,597.6","654.9","60.2","776.5","12.9"
"Delaware","583,000","6,353.9","440.7","5,913.2","6.7","20.4","145.5","268.1","1,623.7","3,792.6","496.9","168.0","1032.0","6.1"
"Florida","8,594,000","7,069.5","765.6","6,303.9","11.0","46.1","206.0","502.5","1,978.8","3,936.5","388.6","232.6","1396.0","6.0"
"Georgia","5,084,000","4,771.3","482.8","4,288.5","14.4","37.9","166.3","264.2","1,475.6","2,456.3","356.5","205.0","911.7","4.4"
"Hawaii","897,000","7,136.1","270.1","6,866.0","6.7","25.9","173.6","64.0","1,937.7","4,357.5","570.8","52.3","956.7","18.3"
"Idaho","878,000","4,014.8","236.4","3,778.4","5.4","19.2","40.0","171.9","1,038.4","2,496.2","243.7","88.0","614.2","7.0"
"Illinois","11,243,000","5,619.8","676.7","4,943.1","9.9","28.0","292.9","345.9","1,350.7","2,969.9","622.5","94.1","1171.0","12.4"
"Indiana","5,374,000","4,338.5","323.5","4,015.1","6.2","27.0","121.4","168.8","1,108.3","2,495.7","411.1","80.7","725.0","9.0"
"Iowa","2,896,000","3,980.1","161.4","3,818.7","2.6","10.4","46.9","101.6","870.6","2,712.9","235.1","67.2","543.3","8.1"
"Kansas","2,348,000","4,544.1","318.2","4,225.9","5.7","25.0","93.7","193.8","1,286.8","2,691.4","247.7","100.3","740.8","7.4"
"Kentucky","3,498,000","3,023.0","223.2","2,799.9","9.0","20.7","81.3","112.1","884.6","1,664.7","250.6","93.9","503.2","5.4"
